Event_id,Sport,Event
189,Athletics,Athletics Men's 10 kilometres Walk
190,Equestrianism,"Equestrianism Men's Jumping, Team"
191,Judo,Judo Women's Middleweight
192,Boxing,Boxing Men's Super-Heavyweight
193,Gymnastics,Gymnastics Women's Individual All-Around
194,Gymnastics,Gymnastics Women's Floor Exercise
195,Rowing,Rowing Men's Lightweight Coxless Fours
196,Boxing,Boxing Men's Middleweight
197,Sailing,Sailing Women's One Person Dinghy
198,Athletics,"Athletics Men's 3,000 metres Steeplechase"
199,Shooting,"Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team"
200,Shooting,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards"
201,Athletics,Athletics Women's 400 metres
202,Athletics,Athletics Men's 800 metres
203,Shooting,"Shooting Men's Military Pistol, Team"
204,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team"
205,Wrestling,"Wrestling Men's Featherweight, Greco-Roman"
206,Wrestling,"Wrestling Women's Lightweight, Freestyle"
207,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres"
208,Table Tennis,Table Tennis Men's Doubles
209,Judo,Judo Women's Half-Lightweight
210,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres"
211,Judo,Judo Women's Heavyweight
212,Athletics,Athletics Men's Pole Vault
213,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres"
214,Athletics,Athletics Women's Marathon
215,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay
216,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres"
217,Shooting,"Shooting Mixed Free Rifle, Three Positions, 300 metres"
218,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres"
219,Swimming,Swimming Women's 10 kilometres Open Water
220,Diving,Diving Men's Springboard
221,Sailing,Sailing Mixed Multihull
222,Athletics,Athletics Men's 110 metres Hurdles
223,Cycling,"Cycling Men's Team Pursuit, 1,980 yards"
224,Cricket,Cricket Men's Cricket
225,Canoeing,"Canoeing Women's Kayak Singles, 500 metres"
226,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres"
227,Canoeing,"Canoeing Women's Kayak Fours, 500 metres"
228,Shooting,"Shooting Men's Free Pistol, 50 metres, Team"
229,Wrestling,"Wrestling Men's Welterweight, Greco-Roman"
230,Athletics,"Athletics Men's Cross-Country, Individual"
231,Wrestling,"Wrestling Men's Welterweight, Freestyle"
232,Weightlifting,Weightlifting Men's Bantamweight
233,Athletics,Athletics Men's Shot Put
234,Swimming,"Swimming Men's 1,200 metres Freestyle"
235,Cycling,Cycling Men's 5 mile
236,Cycling,Cycling Men's 25 mile
237,Swimming,Swimming Women's 100 metres Backstroke
238,Athletics,Athletics Men's 20 kilometres Walk
239,Gymnastics,Gymnastics Men's Parallel Bars
240,Gymnastics,Gymnastics Men's Horizontal Bar
241,Weightlifting,Weightlifting Men's Featherweight
242,Rowing,Rowing Women's Coxed Fours
